1.How many choices are possible when using a single if-else statement?,c,A.1,B.3,C.2,D.4
2.How many "else" statements can you pair with a single "if" statement,a,A.1,B.<20,C.<10,D.As many as is needed
3.How many "else if" links can you have in an "if else if" ladder?,d,A.<10,B.<30,C.<20,D.As many as is needed
4.Which of these is used to add a third or fourth etc outcome to a scenario?,c,A.otherwise,B.if,C.else if,D.elsa
5.Which of the following loops will execute the body of loop even when condition controlling the loop is initially false?,a,A.do-while,B.for,C.while,D.none of the mentioned
6.What is the data type that can be used with case statement in switch control structure?,b,A.The double data type,B.The char data type,C.The float data type,D.The String data type
7.Which of the following for loops will be an infinite loop?,d,A.for(;;),B.for(i = 0; ;i++),C.for(i = 0;i < 1;i--),D.All of the above
8.Which of these jump statements can skip processing remainder of code in its body for a particular iteration?,d,A.break,B.return,C.exit,D.continue
9.What is true about a break?,b,A.Break stops the execution of entire program,B.Break halts the execution and forces the control out of the loop,C.Break forces the control out of the loop and starts the execution of next iteration,D.Break halts the execution of the loop for certain time frame
10.What is true about do statement?,a,A.do statement executes the code of a loop at least once,B.do statement does not get execute if condition is not matched in the first iteration,C.do statement checks the condition at the beginning of the loop,D.do statement executes the code more than once always
